Poverb,Tag
" — Пеки блины!
— Рада бы, пекла, да нет муки.
— Ну, нет муки, так и так пеки.",Блин
3а мухой с обухом.,Необдуманность
"He красно поле видами, а красно скирдами.",Осень
"Koбыла бежит, а Ивашка лежит.",Кобыла
"Koгдa придет напасть, можно пропасть.",Когда
"Koму и петь, как не петуху?",Кому
"Koму мать, а нам мачеха.",Кому
"Kогда б не баня, все б мы пропали.",Когда
Kозел на капустнике — плохой караульщик.,Козел
"Kомy многое дано, с тогo много и спросится.",Кому
"Kому мертвец, а попу товарец.",Кому
"Kопеечкa рубль бережет, а рублик голову стережет.",Копейка
"«Бесчестье» — слово, а пилой пилит.",Бесчестье
"«Где был?» — «У друга» — «Что пил?» — «Воду, да лучше неприятельского меду».",Неприятель
"«Дай» — так не слышит, а «на» — так услыхал.",Алчность
«Есть» «нета» лучше.,Есть
"«Есть» — словко, как мед сладко; а «нет» — словко, как полынь горько.",Есть
"«Катюша» наша хороша, из врагов летит душа.",Мина
«Катюша» с Тагила — фашисту могила.,Пушка
«Катюша» славно ходит: везде врага находит.,Мина
«Кукушку» бери на мушку.,Снайпер
"«Отдохни, сошка, — сказал дед Тимошка, — теперь не твой час: есть трактор у нас».",Соха
"«Полно шутить, — сказал волк капкану, — пусти лапу-то!»",Раскаяние
"А Васька слушает, да ест (И. Крылов).",Хитрость
А богатый и на золото слезы льет.,Богатство
"А вы, друзья, как ни садитесь, всё в музыканты не годитесь (И. Крылов).",Врозь
А ларчик просто открывался (И. Крылов).,Простота
"А тот бы и в чинах, да жаль карманы пусты (И. Крылов).",Чин
А это еще бабушка надвое сказала.,Родня
"Аввакум скажет наобум, а ты бери себе на ум.",Сказать
"Август варит, сентябрь к столу подает.","Август, Сентябрь"
"Август два часа уволок — от дня убавил, ночи прибавил.",Август
Август и у рыб сытная пора.,Август
"Август крушит, да после круглит (тешит).",Август
"Август крушит, да после тешит.",Август
Август лето кончает.,Август
Август придет — свои порядки заведет.,Август
Август припасает утренники (заморозки).,Август
Август с белозарной грозой и гороховой лозой.,Август
Август хлеба припас.,Август
Август яблоком пахнет.,Август
Август — венец лета.,Август
"Август — ленорост, припасает холст.",Август
Август — межняк: межа лета и осени.,Август
Август-ленорост припасет холст.,Август
"Августа — капуста, а марта — осетр.",Август
"Августа — каторга, да после будет маковка.",Август
"Августовская ночь длинна, вода — холодна.",Август
"Авосевы города не горожены, авоськины дети не рожены.",Авось
Авось да как-нибудь до добра не доведут.,Авось
Авось да как-нибудь не бери с собою в путь.,Авось
"Авось да небось доводят до того, что хоть брось.",Авось
Авось да небось на фронте брось.,Фронт
"Авось да небось такая подпора, хоть брось.",Авось
Авось да небось — возьми да из головы брось.,Авось
"Авось да небось — родные братья, оба лежни.",Авось
Авось да небось — с победой врозь.,Победа
"Авось да небось — такая подмога, хоть брось.",Авось
Авось да небось — хоть брось.,Авось
Авось да небось — хоть вовсе брось.,Авось
"Авось живы будем, авось помрем.",Авось
Авось задатка не дает.,Авось
Авось и к нам на двор солнышко взойдет.,Авось
Авось и рыбака толкает под бока.,Авось
Авось кривая вывезет.,Авось
"Авось не бог, а полбога есть.",Авось
"Авось не веревку вьет, но больно петлю закидывает (затягивает).",Авось
Авось небосю родной брат.,Авось
"Авось обманет, в лес уйдет.",Авось
"Авось плут, обманет.",Авось
"Авось попадает, что заяц в тенета.",Авось
"Авось с небосем водились, да оба битыми и очутились.",Авось
"Авось что заяц, в тенёта попадает.",Авось
"Авось — дурак, с головой выдаст.",Авось
"Авось — хоть брось, а наверняка — в почете.",Почет
"Авось, небось да как-нибудь — добра не будет.",Авось
"Авоська веревку вьет, небоська петлю закидывает.",Авось
"Авоська веревку вьет, небоська петлю затягивает.",Авось
"Авоська парень добрый: или выручит, или выучит.",Авось
"Авоська ушел, а небоську покинул.",Авось
"Авоськал, авоськал да и доавоськался.",Авось
Авосю верь не вовсе.,Авось
Авося жданки съели.,Авось
Автомат да лопата — друзья солдата.,Солдат
Аз да буки избавят нас от скуки.,"Азбука, Скука"
Аз да буки — начало науки.,Азбука
"Аз да буки, да и конец науки.",Азбука
"Аз да буки, избави нас от науки.",Азбука
"Аз, буки, веди страшат, что медведи.",Азбука
"Азбука велика, а тридцать только слов в ней.",Азбука
Азбука к мудрости ступенька.,Азбука
"Азбука наука, а ребятам бука (мука).",Азбука
"Азбуки не знает, а писать садится.",Азбука
"Азбуки не знает, а читать садится.",Азбука
"Азбуку учат, во всю избу кричат.",Азбука
"Ай, ай, месяц май — и тепел, да холоден.",Май
"Ай, да молодец, даром, что дурак!",Дурак
"Ай,ай, месяц май: и тепел, и холоден (не холоден, так голоден).",Май
Аленький цветок бросается в глаза.,Красота
Аленький цветок бросается в глазок.,Цвет
"Алмаз алмазом гранится, плут плутом губится.",Плут
"Алмаз алмазом режется, вор вором губится.",Воровство
Алмаз алмазом режется.,Алмаз
Алмаз и в грязи виден.,Алмаз
Алтын серебра не ломит ребра.,Бережливость
"Алтынного вора вешают, полтинного чествуют.",Вор
Алфавиту учат Никиту.,Азбука
"Алчен в кухарне, жаден в пивоварне, а наг-бос в мыльне.",Алчность
Алчешь чужого — потеряешь свое.,Алчность
Алчного гостя не употчевать.,"Алчность, Гость"
Алчных глаз не накормишь.,Алчность
Аль тебе в лесу леса мало?,Алчность
"Амбар крепок, да углы худы.",Хозяйство
Аминем квашни не замесишь.,Мука
"Ангел — ласковая жена, злая — сатана.",Жена
"Ангельский голосок, да чертова думка.",Подхалим
"Апрель богат водой, а октябрь пивом.",Апрель
Апрель богат водою.,Апрель
Апрель водою славен.,Апрель
"Апрель воду подбирает, цветы раскрывает.",Апрель
Апрель всех напоит.,Апрель
Апрель землю красит.,Апрель
"Апрель ленивого не любит, проворного голубит.",Апрель
Апрель обманет — под май подведет.,Апрель
"Апрель обманет, под май подведет.",Апрель
Апрель открывает ключи и воды.,Апрель
"Апрель с водою, а май с травою.","Апрель, Май"
Апрель с маем — ко всему году ключ.,Апрель
"Апрель сипит да дует, бабе тепло сулит, а мужик глядит: что-то еще будет?",Апрель
Апрель снег морит — сугроб горит.,Апрель
Апрель со двора — отыгралась половодьем река.,Апрель
Апрель спит да дует — бабе тепло сулит; мужик глядит: что-то еще будет.,Апрель
"Апрель черен в поле, но в лесу еще бел (то есть снег тает в поле, но остается еще в лесу).",Апрель
"Апрель — первоцвет, месяц говорливой воды, хранитель вешнего шума.",Апрель
Апрель — снегосгон.,Апрель
"Апрель, апрель — на дворе звенит капель.",Апрель
Апрель-батюшка в поле зовет.,Апрель
Апрельская забота сгонит с печи.,Апрель
Апрельские ручьи землю будят.,Апрель
Апрельский скворец — весны гонец.,Апрель
Апрельский цветок ломает снежок.,Апрель
Апрельское тепло ненадейчиво.,Апрель
"Аркан ценится длиной, а слово — краткостью.",Коротко
Армия без головы — ничто.,Армия
Армия дружбой сильна.,Армия
"Армия — живая стена, в учебе крепнет она.",Армия
Арсенья ждать до воскресенья.,"Медлительность, Расторопность"
Артели думой не владати.,Артель
"Артели — брюхо да руки, нет иной поруки.",Артель
Артель атаманом крепка.,Артель
"Артель без вожака, что топор без держака.",Начальник
"Артель воюет, а один горюет.",Артель
Артель дружбой крепка.,Артель
Артель порядком крепка.,Артель
Артель работать научит.,Артель
Артельная каша лучше.,Артель
"Артельно воюешь, а в одиночку горюешь.",Артель
Артельный котел гуще кипит.,Артель
Артельный труд и стариков молодит.,Артель
Артелью города берут.,Артель
Артелью хорошо и недруга бить.,Артель
Артиллерия — бог войны.,Артиллерия
Атака дружит с победой.,Атака
Атака натиск любит.,Атака
Атакующий дружен с победой.,Атака
"Ах ты моя кралечка, дал бы тебе пряничка, да ломаного нет.",Скупость
"Ах, ох, а пособить нечем.",Нет
"Баба гневалась на торг, а торг того и не ведает.",Баба
Баба задним умом крепка.,Баба
Баба и черта перехитрит.,Баба
"Баба любит сердцем да ухом, а мужик глазом да брюхом.",Баба
"Баба на базар три года серчала, а базар того и не примечал: собирался да собирался.",Баба
"Баба надвое ворожила: либо умрет, либо будет жива.",Баба
Баба не бита только печкой.,Баба
"Баба пляшет, а дед плачет.",Баба
"Баба прядет — не по две рубахи носит, а мужик не прядет — да не наг ходит.",Баба
Баба пьяна — вся чужа.,Пьяница
"Баба с возу, кобыле легче.",Баба
Баба с печи летит — семьдесят семь дум передумает.,Баба
"Баба с печки валилась, и то семь дум думала.",Баба
Баба слезами беде помогает.,Баба
"Баба ужом свернется, а своего добьется.",Баба
Бабам праздник хуже казни.,Баба
"Бабе — красна, мужику — соха.",Баба
Бабий век — сорок лет.,Баба
Бабий ум лучше всяких дум.,Баба
"Бабий ум — бабье коромысло: и криво, и зарубисто, и на оба конца.",Баба
Бабий язык — чертово помело.,Язык
Бабка в доме пока вместо сторожа и замка.,Родня
Бабка в доме — дармовая нянька.,Родня
"Бабка ворчит, да дело знает.",Родня
Бабка надвое сказала.,Надежда
"Бабка с кашкой, а дед с ложкой.",Баба
Бабке внуков в обе руки.,Дети
Бабкин урок впрок.,Родня
"Бабой больше, так девкой меньше.",Баба
Бабушка дедушку не обманет.,Родня
"Бабушка еще надвое сказала: либо дождь, либо снег, либо будет, либо нет.",Неопределенность
Бабушке один только дедушка не внук.,Баба
Бабы в избу — мухи вон!,Баба
Бабы живучи как кошки.,Баба
"Бабы каются, а девки замуж собираются.","Баба, Девица"
Бабье корыто пустым не бывает.,Баба
Бабье лето как бабье счастье — коротко.,Осень
Бабье лето — две недели.,Сентябрь
"Бабье счастье, что бабье лето, то коротко, то вовсе нету.",Баба
"Бабьи слезы, что вода.",Слезы
Бабьи сплетни хуже плетки — секут не жалеючи.,Сплетни
Бабью работу не видно.,Баба
"Бабья горка крута, да забывчива.",Баба
Бабья дорога — от печи до порога.,Баба
"Бает, рассыпает, что погодой посыпает.",Говорить
Балованная овца — волку корысть.,Баловство
Баловливая корова все стадо балует.,"Баловство, Корова"
Баловливая корова все стадо портит.,Баловство
Баловливая корова шишкой да бодает.,Баловство
Баловливая овца волку корысть.,Резвость
Баловством хлеба не добудешь.,"Баловство, Хлеб"
Банька лечение и развлечения.,Баня
"Баня без пару, что щи без навару.",Баня
Баня все правит.,Баня
"Баня здоровит, разговор веселит.",Баня
Баня парит и здоровье правит.,Баня
"Баня парит, баня правит, баня все поправит.",Баня
"Баня парит, баня правит.",Баня
Баня — вторая мать. (Баня — мать вторая.),Баня
Баня — мать наша: кости расправит и все тело поправит.,Баня
Баня — мать родная.,Баня
Бар-Господ простой народ на хребте своем везет.,Баре
"Барам бархат да кружева, а нашему брату ни обуто, ни одето, ни ложкой задето.",Баре
"Барам косим, а себе хлеба просим.",Баре
"Баран по дворам, а овцы по подворьям.",Врозь
"Барин в поле полюет, мужик в поле горюет.",Баре
"Барин говорит горлом, мужик горбом.",Баре
"Барин за барина, мужик за мужика.",Баре
"Барин за барина, мужик — за мужика.",Баре
Барин и в рубище не брат.,Баре
"Барин повару не верит, сам по воду едет.",Баре
"Барин — за барина, мужик — за мужика.",Баре
"Барину вершки, а мужику корешки.",Баре
"Барину телятина жарена, а мужику — хлебушка краюха, да в ухо.",Баре
Барская курица — бессмертна.,Баре
Барская ласка до порога.,Баре
Барская ласка не коляска: не сядешь и не поедешь.,Баре
Барская милость — божья роса.,Баре
Барская милость — что кисельная сытость.,Баре
Барская просьба — строгий приказ.,Баре
